person_id,age,gender,race,zip_code,income,credit_score,years_employed,education,loan_amount_requested,loan_approved,model_probability,model_prediction
1,34,Male,Hispanic,10004,34973.5,360.3,10.1,Masters,28328,1,0.1512,0
2,62,Male,White,10001,59006.04,528.2,8.1,Masters,49031,0,0.6674,1
3,19,Male,Hispanic,10003,62455.18,466.4,15.0,Bachelors,33581,1,0.1843,0
4,41,Male,Black,10002,67658.5,512.6,8.0,Bachelors,49509,0,0.2153,0
5,60,Female,White,10001,57157.91,392.7,4.2,Bachelors,32156,0,0.2662,0
6,68,Male,Asian,10004,57324.1,507.6,6.8,Masters,14472,0,0.3697,0
7,31,Female,Hispanic,10003,56987.14,568.1,1.3,Bachelors,36168,0,0.0693,0
8,52,Male,Hispanic,10003,24137.98,373.3,10.0,PhD,32687,0,0.1685,0
9,28,Female,White,10001,60147.18,557.0,10.9,Bachelors,18982,1,0.444,0
10,24,Male,Black,10001,50150.23,400.9,20.3,High School,8460,0,0.1689,0
11,36,Female,White,10001,93902.53,633.3,4.9,Bachelors,34170,0,0.4659,0
12,64,Female,Asian,10004,52489.63,405.6,6.7,Masters,30985,0,0.1755,0
13,54,Male,Black,10002,15000.0,300.0,5.1,Bachelors,39814,0,0.0876,0
14,43,Female,Hispanic,10003,15000.0,338.6,9.1,Masters,10666,0,0.0468,0
15,32,Male,White,10001,39774.09,406.0,9.9,Bachelors,29244,1,0.4733,0
16,25,Male,White,10001,38483.97,325.0,7.7,High School,41840,1,0.3085,0
17,32,Female,Black,10001,44289.34,353.6,13.4,Bachelors,45106,0,0.0874,0
18,26,Female,White,10001,41466.88,338.8,4.9,Bachelors,47281,0,0.2135,0
19,27,Male,Hispanic,10003,27133.88,374.0,12.9,Masters,14538,0,0.1195,0
20,54,Male,Black,10002,29421.94,462.0,10.7,Bachelors,12784,0,0.1799,0
21,25,Female,Hispanic,10003,33427.81,443.2,7.9,Bachelors,30920,0,0.0604,0
22,20,Female,White,10001,101740.1,558.6,6.4,Bachelors,25822,0,0.3818,0
23,46,Female,Asian,10004,82886.74,647.6,20.1,Masters,15545,0,0.5208,1
24,33,Male,Hispanic,10003,44387.11,466.5,3.9,High School,9592,0,0.0697,0
25,42,Female,Hispanic,10003,32935.37,300.0,9.5,Masters,11463,0,0.0421,0
26,25,Male,White,10001,59602.42,466.6,4.2,PhD,20261,1,0.5196,1
27,29,Female,Black,10002,55865.92,521.3,16.9,Bachelors,38277,0,0.1777,0
28,41,Male,White,10001,84020.06,608.7,12.4,Bachelors,7929,1,0.6893,1
29,54,Female,White,10001,48217.18,369.9,4.6,High School,9733,1,0.1738,0
30,39,Male,Black,10002,48875.54,468.5,10.6,Bachelors,16904,0,0.1753,0
31,46,Female,Hispanic,10003,15000.0,300.0,9.3,Bachelors,44319,0,0.0474,0
32,45,Female,Asian,10004,72081.13,521.4,5.4,Masters,49561,1,0.2393,0
33,32,Male,White,10001,88291.58,655.5,11.8,High School,24807,0,0.673,1
34,32,Female,White,10001,63278.35,497.6,9.9,Masters,7007,0,0.3832,0
35,40,Male,Black,10002,91596.65,587.1,9.1,High School,5537,0,0.1823,0
36,19,Female,White,10001,48850.28,482.4,7.8,Masters,43654,0,0.3739,0
37,54,Male,White,10004,75218.57,594.1,10.2,Bachelors,25015,0,0.7934,1
38,50,Male,Black,10002,47140.21,496.4,9.1,High School,8485,0,0.1407,0
39,34,Male,White,10001,67592.86,558.0,8.3,Bachelors,42505,1,0.6246,1
40,37,Male,Black,10002,45256.27,477.3,4.8,Masters,28805,0,0.1508,0
41,35,Male,White,10001,72570.52,571.2,16.5,Bachelors,20739,0,0.7232,1
42,52,Female,Hispanic,10003,64351.01,514.3,2.7,High School,25345,0,0.0507,0
43,58,Female,Hispanic,10003,77065.67,557.3,10.1,Bachelors,15128,0,0.1175,0
44,23,Female,White,10001,69945.99,512.0,6.4,Bachelors,46920,1,0.3713,0
45,39,Male,Hispanic,10003,63567.59,437.2,16.8,Bachelors,40450,0,0.2129,0
46,18,Male,Hispanic,10003,27157.59,301.8,3.5,Bachelors,13957,0,0.0448,0
47,41,Male,White,10001,88382.93,584.9,4.3,High School,38071,1,0.5255,1
48,31,Female,White,10005,51712.2,461.6,3.2,Bachelors,13085,0,0.2096,0
49,35,Female,Black,10002,74175.84,613.1,9.6,Bachelors,25398,0,0.1559,0
50,42,Male,White,10001,123055.38,738.1,1.1,Masters,38692,1,0.7133,1
51,35,Female,White,10001,67069.99,562.3,5.6,High School,6636,1,0.2956,0
52,38,Male,White,10001,17378.96,363.7,0.0,Bachelors,37658,0,0.3003,0
53,58,Male,Hispanic,10003,30846.25,353.0,9.2,Bachelors,15167,0,0.0982,0
54,60,Male,Black,10002,77565.0,584.6,5.5,High School,36463,0,0.1949,0
55,18,Male,Hispanic,10003,57273.84,460.1,0.6,Bachelors,27463,0,0.075,0
56,38,Female,Hispanic,10003,49973.93,508.6,13.4,High School,6175,0,0.0771,0
57,62,Female,Black,10002,72208.04,564.9,1.5,High School,39285,0,0.0813,0
58,46,Male,Black,10002,59626.88,422.3,12.0,Bachelors,16698,0,0.1702,0
59,28,Male,White,10001,99225.4,651.2,4.5,Bachelors,47855,1,0.6568,1
60,49,Female,White,10001,92066.17,696.4,16.0,Masters,42796,1,0.7467,1
61,25,Female,Black,10002,84520.81,574.2,11.7,High School,13677,0,0.1072,0
62,19,Female,Black,10002,56611.11,491.9,3.0,Bachelors,32039,0,0.0649,0
63,51,Male,Black,10002,69726.23,550.3,3.4,Bachelors,21291,0,0.171,0
64,45,Female,Hispanic,10003,36628.95,336.3,11.0,Masters,32099,0,0.0619,0
65,58,Male,Black,10002,33564.94,401.2,6.7,Masters,30065,0,0.1458,0
66,36,Female,Black,10002,88962.42,531.6,7.2,Bachelors,18316,0,0.1002,0
67,63,Male,Black,10002,53188.91,424.3,14.4,Bachelors,34313,0,0.2325,0
68,40,Female,White,10001,89317.13,656.6,4.3,Bachelors,16708,1,0.454,0
69,57,Male,White,10001,72969.76,554.0,8.5,Bachelors,45831,1,0.6639,1
70,23,Male,White,10001,55923.62,451.5,12.8,High School,47595,0,0.516,1
71,23,Female,White,10002,70263.59,547.5,12.0,Bachelors,12465,0,0.4324,0
72,59,Female,White,10001,104463.86,661.5,7.2,High School,37749,1,0.5059,1
73,62,Male,Hispanic,10003,57325.76,473.1,6.6,Masters,46822,0,0.1747,0
74,67,Female,White,10003,28924.64,389.6,0.0,Bachelors,10709,0,0.2251,0
75,35,Female,White,10001,64834.13,466.7,2.7,Bachelors,38284,0,0.2821,0
76,19,Male,White,10001,112775.05,700.4,9.6,Bachelors,47197,1,0.7552,1
77,69,Male,White,10001,64868.88,487.6,7.3,Bachelors,15129,0,0.5499,1
78,49,Male,Black,10002,15000.0,300.0,8.4,High School,31207,0,0.076,0
79,31,Female,Black,10002,93433.17,573.5,13.2,Masters,40903,0,0.1966,0
80,58,Male,Hispanic,10004,60377.42,563.3,2.1,Masters,20001,0,0.2071,0
81,65,Male,Black,10002,46319.69,446.8,6.8,High School,15702,0,0.1182,0
82,33,Female,White,10001,61085.97,421.6,8.9,Masters,22871,1,0.3265,0
83,58,Female,Hispanic,10003,69976.45,447.0,4.5,Bachelors,20092,0,0.0581,0
84,59,Female,White,10001,56992.4,465.5,15.2,High School,37643,0,0.4363,0
85,44,Female,White,10001,97558.15,714.4,12.5,Bachelors,21692,1,0.6564,1
86,51,Female,White,10001,83012.69,567.8,9.5,High School,21932,0,0.4087,0
87,32,Female,Hispanic,10003,49872.37,507.4,17.0,High School,47503,1,0.1188,0
88,67,Female,Black,10002,51492.36,466.3,0.5,Bachelors,31044,0,0.0668,0
89,70,Male,White,10001,65800.77,530.5,8.0,Bachelors,46822,0,0.6547,1
90,69,Male,Black,10002,73095.36,469.9,9.8,Masters,36973,0,0.2415,0
91,57,Male,White,10001,49231.77,486.3,3.4,Masters,44835,1,0.5386,1
92,20,Female,Black,10002,15000.0,300.0,9.5,Masters,13792,0,0.0455,0
93,37,Male,White,10001,84746.56,627.3,2.5,Bachelors,47219,1,0.6141,1
94,41,Male,White,10001,85149.72,545.1,11.5,Masters,47491,0,0.7036,1
95,68,Female,White,10001,81525.79,579.9,13.3,Bachelors,6834,1,0.5527,1
96,46,Male,Black,10002,57785.48,491.9,9.4,Bachelors,21028,1,0.1892,0
97,46,Male,White,10001,62307.03,485.0,0.0,Bachelors,23598,1,0.4061,0
98,25,Female,White,10001,88899.58,621.3,3.2,PhD,23872,0,0.4931,0
99,60,Female,White,10001,68906.6,506.3,10.8,High School,40028,0,0.4125,0
100,35,Male,Asian,10004,55309.27,431.8,8.1,Masters,36433,1,0.3093,0
101,22,Male,Asian,10004,59514.61,561.6,0.0,Masters,14579,1,0.2573,0
102,70,Male,Black,10002,96495.35,684.5,14.2,Bachelors,32395,0,0.4691,0
103,28,Female,White,10001,28360.57,316.4,8.7,Masters,48859,0,0.2634,0
104,18,Female,Asian,10004,78994.91,589.1,3.9,Bachelors,24805,0,0.1933,0
105,22,Male,Hispanic,10003,15000.0,300.0,13.0,High School,46770,0,0.0772,0
106,41,Female,Hispanic,10003,41402.4,348.3,4.6,Bachelors,34239,0,0.0392,0
107,23,Male,White,10001,59592.94,533.4,4.6,Bachelors,46624,1,0.5303,1
108,62,Male,White,10001,19959.32,300.0,9.8,High School,45628,0,0.3726,0
109,45,Female,White,10005,79336.9,608.5,16.9,High School,5750,1,0.482,0
110,35,Male,Asian,10004,57879.09,462.1,16.1,Bachelors,41013,1,0.4438,0
111,18,Male,Black,10002,15000.0,300.0,9.8,Masters,13509,0,0.0875,0
112,43,Male,White,10001,90149.63,626.7,10.3,Masters,42092,1,0.7472,1
113,26,Female,White,10001,104440.15,693.4,12.0,Bachelors,41361,1,0.6364,1
114,69,Female,Black,10002,83762.98,538.8,1.7,High School,16628,0,0.0682,0
115,33,Female,White,10001,78614.95,595.1,11.2,Bachelors,7979,1,0.4789,0
116,43,Male,Hispanic,10003,45105.4,428.3,4.3,Masters,23873,0,0.1026,0
117,18,Male,Hispanic,10003,75875.76,485.2,9.6,Bachelors,18634,0,0.1338,0
118,24,Female,Hispanic,10003,84377.21,574.2,6.9,High School,29922,0,0.0725,0
119,28,Male,White,10001,97205.65,704.0,10.5,High School,8690,0,0.6674,1
120,20,Female,Black,10002,25403.1,426.2,8.6,Masters,6988,0,0.0661,0
121,56,Female,Black,10002,52832.28,490.0,0.0,Masters,24671,0,0.0698,0
122,68,Male,Black,10002,58548.39,417.9,8.9,High School,39641,0,0.1432,0
123,70,Female,White,10001,26569.19,371.7,11.2,Masters,19174,0,0.3572,0
124,32,Male,White,10001,81264.66,612.5,10.2,High School,19556,0,0.6002,1
125,59,Male,White,10001,124551.8,782.6,7.5,High School,12381,1,0.7412,1
126,44,Female,Black,10002,63358.47,536.3,16.2,Masters,17717,1,0.1886,0
127,20,Male,White,10001,105361.91,686.3,9.6,Bachelors,18445,1,0.7053,1
128,22,Female,White,10001,74389.95,538.3,10.2,Bachelors,16668,1,0.4048,0
129,47,Female,White,10001,68242.76,486.5,13.2,PhD,20465,1,0.5506,1
130,40,Female,Black,10002,57150.51,376.8,9.8,Masters,17752,0,0.0736,0
131,18,Female,White,10001,50420.16,461.3,3.5,High School,35637,1,0.2103,0
132,67,Male,Asian,10004,43869.4,426.9,0.0,Masters,20211,0,0.2186,0
133,56,Male,Black,10002,78391.31,586.1,5.6,Masters,38964,0,0.2627,0
134,44,Female,White,10001,102936.22,591.4,11.8,Bachelors,32217,1,0.5496,1
135,70,Female,Black,10002,24213.45,369.8,6.2,PhD,33822,0,0.0988,0
136,69,Male,White,10001,93231.97,721.5,12.0,Masters,31261,1,0.84,1
137,69,Male,Asian,10004,64912.96,507.3,8.7,Bachelors,46529,0,0.4315,0
138,31,Male,Black,10002,56155.41,464.6,14.4,High School,16507,0,0.1622,0
139,64,Male,Hispanic,10003,55045.25,478.6,6.5,Masters,49208,0,0.1808,0
140,44,Female,White,10001,93864.41,722.9,10.3,PhD,14289,1,0.7098,1
141,56,Male,Black,10002,49985.24,391.4,10.5,High School,11220,0,0.1124,0
142,63,Female,Black,10002,81843.89,582.5,15.5,High School,42186,0,0.1977,0
143,26,Female,Asian,10004,74425.91,502.1,0.0,Masters,45319,0,0.1499,0
144,41,Female,Black,10002,62980.42,468.1,5.7,High School,9172,0,0.0534,0
145,24,Male,Black,10002,28001.7,350.5,12.2,High School,31990,0,0.1003,0
146,32,Male,White,10001,121807.82,802.5,15.7,Masters,28077,1,0.8792,1
147,39,Female,White,10001,81275.8,660.1,9.2,Masters,14905,1,0.5564,1
148,63,Female,Black,10002,65111.94,526.6,6.5,Masters,28425,1,0.1258,0
149,63,Male,White,10001,31403.54,348.0,11.8,Masters,35861,1,0.5321,1
150,38,Female,White,10001,50255.15,568.3,12.3,Bachelors,30836,0,0.5121,1
151,35,Male,Hispanic,10003,73709.21,517.8,6.2,Masters,28389,0,0.1558,0
152,46,Female,Hispanic,10003,50885.39,417.6,9.7,High School,44855,0,0.0594,0
153,66,Male,White,10001,24069.29,300.0,13.9,Bachelors,15149,0,0.4622,0
154,69,Male,Black,10002,72918.96,605.8,17.5,Masters,33076,0,0.4663,0
155,30,Male,White,10001,56949.21,519.3,11.7,Masters,19245,1,0.6195,1
156,27,Male,Black,10002,81871.61,693.3,8.2,Masters,48814,0,0.3644,0
157,55,Male,White,10001,67891.94,446.0,7.7,High School,16319,0,0.4268,0
158,33,Male,Black,10004,52912.96,527.4,10.8,PhD,44211,0,0.4584,0
159,28,Male,Hispanic,10003,72294.91,536.9,7.4,Bachelors,33446,0,0.1614,0
160,19,Female,Hispanic,10003,22460.17,370.7,8.9,Bachelors,14663,0,0.0422,0
161,39,Male,White,10001,46171.68,344.6,2.7,PhD,39141,1,0.4285,0
162,38,Female,Asian,10004,62284.04,566.0,14.5,Bachelors,15853,0,0.3163,0
163,47,Female,White,10001,89852.15,644.3,2.3,Masters,16804,0,0.4458,0
164,28,Male,White,10001,38058.95,392.0,5.8,Bachelors,20515,1,0.3733,0
165,55,Male,Black,10002,15000.0,332.3,8.5,Masters,35678,1,0.1284,0
166,54,Female,White,10001,89769.3,566.3,18.0,Masters,22618,1,0.6447,1
